Reference, Quantity, Value, Footprint, Datasheet, MPN, Source
C1 C4 ,2,"13p","Capacitor_SMD:C_0402_1005Metric","~","GJM1555C1H130GB01D","490-8079-1-ND"
C16 ,1,"1.5p","Capacitor_SMD:C_0402_1005Metric","~","GRM1555C1H1R5CA01D","490-5891-1-ND"
C17 ,1,"1p","Capacitor_SMD:C_0402_1005Metric","~","GRM1555C1H1R0CA01D","490-3199-1-ND"
C18 ,1,"33n","Capacitor_SMD:C_0402_1005Metric","~","CL05A334KQ5NNNC","1276-1473-6-ND"
C10 C2 ,2,"4.7u","Capacitor_SMD:C_0402_1005Metric","~","C1005X5R0J475M050BC","445-7395-1-ND"
C11 C12 C14 C15 C3 C5 C6 ,7,"100n","Capacitor_SMD:C_0402_1005Metric","~","0402B104K160CT","1292-1630-1-ND"
C7 ,1,"2.2n","Capacitor_SMD:C_0402_1005Metric","~","C0402C222K5RACTU","399-3068-1-ND"
C13 C8 ,2,"1u","Capacitor_SMD:C_0402_1005Metric","~","CL05A105KQ5NNNC","1276-1010-1-ND"
C9 ,1,"4.7p","Capacitor_SMD:C_0402_1005Metric","~","CC0402CRNPO9BN4R7","311-1367-1-ND"
D1 ,1,"LED_RED","Diode_SMD:D_0402_1005Metric","~","APHHS1005SURCK","754-1104-1-ND"
D2 ,1,"LED_GREEN","Diode_SMD:D_0402_1005Metric","~","APHHS1005CGCK","754-1101-1-ND"
F1 ,1,"200mA Fuse","Fuse:Fuse_0402_1005Metric","https://datasheets.avx.com/AccuGuardLC_0402.pdf","F0402G0R20FNTR","478-6487-1-ND"
FB1 ,1,"100 @ 100 MHz","Inductor_SMD:L_0402_1005Metric","https://katalog.we-online.de/pbs/datasheet/742792711.pdf","742792711","732-2361-1-ND"
J1 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~","1050170001","WM1399CT-ND"
J2 ,1,"Conn_ARM_JTAG_SWD_20","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical_SMD","http://infocenter.arm.com/help/topic/com.arm.doc.dui0499b/DUI0499B_system_design_reference.pdf","3020-20-0300-00","1175-1623-ND"
J3 ,1,"SMA","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"," ~","SMA-J-P-H-ST-EM1","SAM8857-ND"
L1 ,1,"8.2n","Inductor_SMD:L_0402_1005Metric","~","L-07C8N2JV6T","712-1420-1-ND"
L2 ,1,"3.9n","Inductor_SMD:L_0402_1005Metric","~","L-07C3N9SV6T","712-1459-1-ND"
L3 ,1,"2.7n","Inductor_SMD:L_0402_1005Metric","~","L-07C2N7SV6T","712-1415-1-ND"
R1 ,1,"1M","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-071ML","311-1.00MLRCT-ND"
R2 R5 ,2,"750","Resistor_SMD:R_0402_1005Metric","~","RC0402JR-07750RL","YAG3314CT-ND"
R3 R4 ,2,"10k","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-0710KL","311-10.0KLRCT-ND"
R6 ,1,"22k","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-0722KL","311-22.0KLRCT-ND"
U1 ,1,"NRF24L01","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","https://www.sparkfun.com/datasheets/Components/SMD/nRF24L01Pluss_Preliminary_Product_Specification_v1_0.pdf","NRF24L01","NRF24L01-ND"
U2 ,1,"USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","http://www2.st.com/resource/en/datasheet/CD00050750.pdf","USBLC6-2SC6","497-5235-1-ND"
U3 ,1,"TLV75533PDBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv755p.pdf","TLV75533PDBVR","C404027"
U4 ,1,"STM32L432KBUx","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00257205.pdf","STM32L432KBU6","497-16577-ND"
Y1 ,1,"16MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","NX3225SA-16MHZ-STD-CSR-6","644-1182-1-ND"